"n","b","est","psi","lower","upper","mc_id"
500,81,"raking",0.00406837758839457,-0.0515064736912138,0.0596432288680029,81
500,82,"raking",-0.00856392025060583,-0.0750569204967306,0.0579290799955189,82
500,83,"raking",0.0483606979649013,-0.0333256524287896,0.130047048358592,83
500,84,"raking",0.00377203154827008,-0.053971858630969,0.0615159217275091,84
500,85,"raking",0.00583112054712783,-0.0520928177693548,0.0637550588636104,85
500,86,"raking",0.0353419998120955,-0.0271029974949035,0.0977869971190945,86
500,87,"raking",0.0630426287855494,-0.0109116546091043,0.136996912180203,87
500,88,"raking",0.036073613968412,-0.0215787815168618,0.0937260094536858,88
500,89,"raking",0.0621758812336331,-0.0018321675652667,0.126183930032533,89
500,90,"raking",-0.00589672747092865,-0.0724140488621334,0.0606205939202761,90
500,91,"raking",0.112972883395871,0.0243717184843882,0.201574048307354,91
500,92,"raking",0.0724645063182334,-2.9174478151206e-05,0.144958187114618,92
500,93,"raking",0.0427261875097869,-0.0178029090018961,0.10325528402147,93
500,94,"raking",0.0763555978481951,0.00273212856567967,0.149979067130711,94
500,95,"raking",0.0891856352943461,0.0113948053932936,0.166976465195399,95
500,96,"raking",0.0806600855684372,0.0146485037095598,0.146671667427315,96
500,97,"raking",0.0411094734341792,-0.0225378628408928,0.104756809709251,97
500,98,"raking",0.0280394865950462,-0.0370479471285617,0.0931269203186541,98
500,99,"raking",0.065726703844793,-0.00763516642366942,0.139088574113255,99
500,100,"raking",0.0440938277432917,-0.0121141007186134,0.100301756205197,100
500,101,"raking",0.0678303390319529,0.00785706450831197,0.127803613555594,101
500,102,"raking",-0.00156859747475145,-0.0737292549152536,0.0705920599657507,102
500,103,"raking",-0.00285422998793114,-0.0653530036583783,0.0596445436825161,103
500,104,"raking",0.0857175555890867,0.0193728253874563,0.152062285790717,104
500,105,"raking",0.080672854283149,0.00606994263082565,0.155275765935472,105
500,106,"raking",0.0318248791557534,-0.0348819636115529,0.0985317219230596,106
500,107,"raking",-0.0129053072893191,-0.0736766693617982,0.0478660547831599,107
500,108,"raking",0.0142539522537151,-0.0568237123229403,0.0853316168303705,108
500,109,"raking",-0.0229862705446609,-0.0865311312597233,0.0405585901704016,109
500,110,"raking",0.00929965257520268,-0.0526931195283083,0.0712924246787136,110
500,111,"raking",0.0127260625346626,-0.0377358609197297,0.063187985989055,111
500,112,"raking",0.0472638616299841,-0.0185329265684788,0.113060649828447,112
500,113,"raking",0.0729050689267962,0.00440718798993757,0.141402949863655,113
500,114,"raking",0.0323745821636065,-0.0352097875082635,0.0999589518354765,114
500,115,"raking",0.0292945114234749,-0.0398748341641831,0.098463857011133,115
500,116,"raking",0.0566049440366977,0.00125366491508632,0.111956223158309,116
500,117,"raking",0.0851644394052114,0.0162392395841901,0.154089639226233,117
500,118,"raking",0.0639268310668902,-0.00386565574673957,0.13171931788052,118
500,119,"raking",0.0103860294759093,-0.0437771137801032,0.0645491727319217,119
500,120,"raking",0.0798152249926058,0.0126412736021702,0.146989176383041,120
500,121,"raking",0.0218172687256794,-0.0407469991994169,0.0843815366507757,121
500,122,"raking",0.0341089141285959,-0.029664687751193,0.0978825160083847,122
500,123,"raking",0.0710501431272032,0.00203396916259589,0.140066317091811,123
500,124,"raking",0.0078746792620803,-0.0450759645953305,0.0608253231194911,124
500,125,"raking",-0.014878218753447,-0.0673512743846481,0.037594836877754,125
500,126,"raking",0.0635198988195173,0.000451202823967281,0.126588594815067,126
500,127,"raking",0.00400174623043453,-0.0607058319920538,0.0687093244529229,127
500,128,"raking",0.00606820242336276,-0.0545218958584412,0.0666583007051667,128
500,129,"raking",0.0255774830382704,-0.0364631881304836,0.0876181542070243,129
500,130,"raking",0.0277056166289004,-0.0325947291166765,0.0880059623744774,130
500,131,"raking",0.0619517572272558,-0.0101626624846871,0.134066176939199,131
500,132,"raking",0.0996643650518814,0.0235287669360378,0.175799963167725,132
500,133,"raking",0.0488395620346599,-0.0152882100954701,0.11296733416479,133
500,134,"raking",0.0576913275944314,-0.00876959091526498,0.124152246104128,134
500,135,"raking",0.0630951904841396,-0.0149840695408443,0.141174450509123,135
500,136,"raking",0.00550784765978297,-0.0560923661477512,0.0671080614673172,136
500,137,"raking",0.0665516761019096,-0.00442703432083173,0.137530386524651,137
500,138,"raking",-0.00859833920336571,-0.0659018680220329,0.0487051896153014,138
500,139,"raking",0.0291260353173631,-0.0394384842637069,0.097690554898433,139
500,140,"raking",0.0354226208497109,-0.0200122724678015,0.0908575141672232,140
500,141,"raking",0.0955717413786817,0.0233949306307812,0.167748552126582,141
500,142,"raking",0.0314312672994871,-0.0266043437481929,0.089466878347167,142
500,143,"raking",0.0491605270840047,-0.0151161417582697,0.113437195926279,143
500,144,"raking",0.105335557949509,0.0275991352317498,0.183071980667268,144
500,145,"raking",-0.00816392950546749,-0.0686271504237694,0.0522992914128345,145
500,146,"raking",0.0592236289323463,-0.00788000976530513,0.126327267629998,146
500,147,"raking",0.0292503003415706,-0.0347232067195299,0.0932238074026711,147
500,148,"raking",0.0684775827996159,0.00238104056752804,0.134574125031704,148
500,149,"raking",0.0363690255737165,-0.0290358441285974,0.10177389527603,149
500,150,"raking",0.0330720106268049,-0.0314911220946663,0.0976351433482762,150
500,151,"raking",0.103108734189141,0.0282878565843361,0.177929611793945,151
500,152,"raking",-0.000538273667064247,-0.0644363284249309,0.0633597810908024,152
500,153,"raking",0.00839060741356037,-0.0535281394205747,0.0703093542476955,153
500,154,"raking",0.0424041146457133,-0.0184216610022458,0.103229890293672,154
500,155,"raking",0.0196669742223585,-0.0364033411767917,0.0757372896215087,155
500,156,"raking",0.061628183362574,-0.00495485029912803,0.128211217024276,156
500,157,"raking",0.0234738437717872,-0.0315507469615451,0.0784984345051195,157
500,158,"raking",0.142593992214512,0.0673557782897625,0.217832206139262,158
